filename,status,rejection_reason,document_type,document_id,width,height,file_size_bytes,has_annotation
DOC_CORRUPTED_HEADER.png,REJECTED,"Corrupted image header / unreadable (cannot identify image file 'C:\\Users\\guvva\\OneDrive\\Desktop\\PROTOTYPE\\module1_ocr\\data\\raw\\DOC_CORRUPTED_HEADER.png')",UNKNOWN,,,,29,False
DOC_CORRUPTED_ZERO_BYTE.png,REJECTED,"Zero-byte file",UNKNOWN,,,,0,False
DOC_DRIVER_LICENSE_0002_v1.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0002,900,550,18099,True
DOC_DRIVER_LICENSE_0002_v2.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0002,900,550,24601,True
DOC_DRIVER_LICENSE_0007_v1.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0007,900,550,16489,True
DOC_DRIVER_LICENSE_0007_v2.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0007,900,550,23616,True
DOC_DRIVER_LICENSE_0012_v1.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0012,900,550,17673,True
DOC_DRIVER_LICENSE_0012_v2.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0012,900,550,24204,True
DOC_DRIVER_LICENSE_0017_v1.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0017,900,550,16924,True
DOC_DRIVER_LICENSE_0017_v2.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0017,900,550,23529,True
DOC_DRIVER_LICENSE_0022_v1.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0022,900,550,17388,True
DOC_DRIVER_LICENSE_0022_v2.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0022,900,550,24640,True
DOC_DRIVER_LICENSE_0027_v1.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0027,900,550,16802,True
DOC_DRIVER_LICENSE_0027_v2.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0027,900,550,24574,True
DOC_DRIVER_LICENSE_0032_v1.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0032,900,550,16484,True
DOC_DRIVER_LICENSE_0032_v2.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0032,900,550,24135,True
DOC_DRIVER_LICENSE_0037_v1.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0037,900,550,16947,True
DOC_DRIVER_LICENSE_0037_v2.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0037,900,550,23935,True
DOC_DRIVER_LICENSE_0042_v1.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0042,900,550,17648,True
DOC_DRIVER_LICENSE_0042_v2.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0042,900,550,24548,True
DOC_DRIVER_LICENSE_0047_v1.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0047,900,550,17118,True
DOC_DRIVER_LICENSE_0047_v2.png,VALID,"",driver_license,DOC_DRIVER_LICENSE_0047,900,550,24874,True
